outcome_year,outcome_month,n_outcomes
2013,10,1126
2013,11,1213
2013,12,1430
2014,1,1224
2014,2,1115
2014,3,1479
2014,4,1399
2014,5,1625
2014,6,1751
2014,7,2070
2014,8,1847
2014,9,1656
2014,10,1519
2014,11,1420
2014,12,1454
2015,1,1198
2015,2,1121
2015,3,1241
2015,4,1379
2015,5,1877
2015,6,1975
2015,7,1897
2015,8,1735
2015,9,1601
2015,10,1570
2015,11,1559
2015,12,1332
2016,1,1304
2016,2,1146
2016,3,1419
2016,4,1351
2016,5,1692
2016,6,1631
2016,7,1679
2016,8,1535
2016,9,1658
2016,10,1410
2016,11,1447
2016,12,1390
2017,1,1359
2017,2,1285
2017,3,1330
2017,4,1319
2017,5,1631
2017,6,1647
2017,7,1773
2017,8,1710
2017,9,1505
2017,10,1635
2017,11,1207
2017,12,1242
2018,1,1161
2018,2,1056
2018,3,1285
2018,4,1265
2018,5,1492
2018,6,1634
2018,7,1670
2018,8,1637
2018,9,1513
2018,10,1468
2018,11,1158
2018,12,1395
2019,1,1328
2019,2,1129
2019,3,1464
2019,4,1476
2019,5,1673
2019,6,2241
2019,7,1948
2019,8,1979
2019,9,1766
2019,10,1753
2019,11,1565
2019,12,1446
2020,1,1303
2020,2,1195
2020,3,977
2020,4,391
2020,5,442
2020,6,665
2020,7,745
2020,8,842
2020,9,816
2020,10,818
2020,11,705
2020,12,872
2021,1,648
2021,2,423
2021,3,81
